,type,action,event_time,session_id,membership_role,membership_type,event__id,event__type,event__actor_type,event__action,event__object_type,event__object_name,event__object_extensions_asset_type,event__object_extensions_http_method,event__eventTime,event__edApp_type,event__session_type,object_id_type,event__object_id_type,event__attachment_type,object_id,event__object_extensions_asset_name,actor_id
972,NavigationEvent,navigatedto,2033-01-11 18:00:02.529000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,4d713400229d2fef1aa2f39ed58dd71b,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 18:00:02.529000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,8e664ae1f08064a3efa2b68b5097b9b4,1.3 What is eLearning?,LEARNER_1
973,NavigationEvent,navigatedto,2033-01-11 15:19:45.583000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,831aa5c08dbe8513d21e85d4d7d39d2e,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 15:19:45.583000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,8e664ae1f08064a3efa2b68b5097b9b4,1.3 What is eLearning?,LEARNER_1
974,NavigationEvent,navigatedto,2033-01-11 15:19:45.550000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,0f0b397973ffdee6c8a66c5f718a3905,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 15:19:45.550000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,8e664ae1f08064a3efa2b68b5097b9b4,1.3 What is eLearning?,LEARNER_1
975,NavigationEvent,navigatedto,2033-01-11 15:01:57.878000+00:00,e9d15d13777ba93b3e70474245e7ed35,"[""Learner""]",Membership,581f47323f8c3e7db38c20d4d9366f08,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 15:01:57.878000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,8e664ae1f08064a3efa2b68b5097b9b4,1.3 What is eLearning?,LEARNER_1
976,NavigationEvent,navigatedto,2033-01-11 11:22:58.319000+00:00,e9d15d13777ba93b3e70474245e7ed35,"[""Learner""]",Membership,6671af8882fa40fe6ad0fcdb633b35bd,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 11:22:58.319000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,8e664ae1f08064a3efa2b68b5097b9b4,1.3 What is eLearning?,LEARNER_1
2640,NavigationEvent,navigatedto,2033-01-15 22:06:57.197000+00:00,84db2cf7bdbb6d4aeaab96fde16d7230,"[""Learner""]",Membership,38930b274ba281d048bd3d43a3f6dcd7,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-15 22:06:57.197000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,8e664ae1f08064a3efa2b68b5097b9b4,1.3 What is eLearning?,LEARNER_2
2641,NavigationEvent,navigatedto,2033-01-17 15:59:52.015000+00:00,6b28ec7e560a8ea56cc95a2d2ce21f12,"[""Learner""]",Membership,b6f1d49e9ee6831c485aeb87cfa1a771,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-17 15:59:52.015000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,8e664ae1f08064a3efa2b68b5097b9b4,1.3 What is eLearning?,LEARNER_2
2642,NavigationEvent,navigatedto,2033-01-17 15:56:51.982000+00:00,6b28ec7e560a8ea56cc95a2d2ce21f12,"[""Learner""]",Membership,06ae4f9d163d644c7ea35ce1fefab5bf,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-17 15:56:51.982000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,8e664ae1f08064a3efa2b68b5097b9b4,1.3 What is eLearning?,LEARNER_2
2643,NavigationEvent,navigatedto,2033-01-17 15:57:07.502000+00:00,6b28ec7e560a8ea56cc95a2d2ce21f12,"[""Learner""]",Membership,edffdc4b02df1090a6e5aa73c0f5bb04,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-17 15:57:07.502000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,8e664ae1f08064a3efa2b68b5097b9b4,1.3 What is eLearning?,LEARNER_2
2644,NavigationEvent,navigatedto,2033-02-05 09:42:51.082000+00:00,694dd62800d7426d17c99f66cc84db58,"[""Learner""]",Membership,850d4dafac7f00075ecd7575a8a569af,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-02-05 09:42:51.082000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,8e664ae1f08064a3efa2b68b5097b9b4,1.3 What is eLearning?,LEARNER_2
