,type,action,event_time,session_id,membership_role,membership_type,event__id,event__type,event__actor_type,event__action,event__object_type,event__object_name,event__object_extensions_asset_type,event__object_extensions_http_method,event__eventTime,event__edApp_type,event__session_type,object_id_type,event__object_id_type,event__attachment_type,object_id,event__object_extensions_asset_name,actor_id
951,NavigationEvent,navigatedto,2033-01-11 17:56:57.344000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,03f485ce60c4d18333babf6126491692,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 17:56:57.344000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,c1ca8b84758d7f8d59724eec336bd5be,1.7 Rationales for eLearning,LEARNER_1
952,NavigationEvent,navigatedto,2033-01-11 17:57:52.794000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,b1e8661021b194a2583d8f6f6d10f535,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 17:57:52.794000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,c1ca8b84758d7f8d59724eec336bd5be,1.7 Rationales for eLearning,LEARNER_1
953,NavigationEvent,navigatedto,2033-01-11 17:57:52.834000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,659d8632c96c0ab513dcafa1352b9610,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 17:57:52.834000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,c1ca8b84758d7f8d59724eec336bd5be,1.7 Rationales for eLearning,LEARNER_1
954,NavigationEvent,navigatedto,2033-01-31 16:52:20.573000+00:00,c7fae9f61c3dd90ac8b64203a2df364b,"[""Learner""]",Membership,ef4b25ec1c84c266b7c64899e08f3594,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-31 16:52:20.573000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,c1ca8b84758d7f8d59724eec336bd5be,1.7 Rationales for eLearning,LEARNER_1
955,NavigationEvent,navigatedto,2033-01-31 16:52:57.351000+00:00,c7fae9f61c3dd90ac8b64203a2df364b,"[""Learner""]",Membership,47d9554689e0eaebc77f0011b258fda6,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-31 16:52:57.351000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,c1ca8b84758d7f8d59724eec336bd5be,1.7 Rationales for eLearning,LEARNER_1
956,NavigationEvent,navigatedto,2033-01-31 04:22:43.097000+00:00,c7fae9f61c3dd90ac8b64203a2df364b,"[""Learner""]",Membership,fdd9589e0348ed10fe6a65578b389fc9,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-31 04:22:43.097000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,c1ca8b84758d7f8d59724eec336bd5be,1.7 Rationales for eLearning,LEARNER_1
957,NavigationEvent,navigatedto,2033-01-19 07:18:20.971000+00:00,92f2e999bb5731e7d09cadb202a61297,"[""Learner""]",Membership,b7d73fdfe7b962fdd7e8d0d536cdecbc,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-19 07:18:20.971000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,c1ca8b84758d7f8d59724eec336bd5be,1.7 Rationales for eLearning,LEARNER_1
958,NavigationEvent,navigatedto,2033-01-31 07:31:25.349000+00:00,c7fae9f61c3dd90ac8b64203a2df364b,"[""Learner""]",Membership,e5502fcfb25de32bba52e505e422eaa3,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-31 07:31:25.349000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,c1ca8b84758d7f8d59724eec336bd5be,1.7 Rationales for eLearning,LEARNER_1
959,NavigationEvent,navigatedto,2033-02-03 09:55:23.224000+00:00,c7fae9f61c3dd90ac8b64203a2df364b,"[""Learner""]",Membership,cdb4c1b75c0650014a2dbdadb2c38e88,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-02-03 09:55:23.224000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,c1ca8b84758d7f8d59724eec336bd5be,1.7 Rationales for eLearning,LEARNER_1
960,NavigationEvent,navigatedto,2033-01-31 17:40:39.180000+00:00,c7fae9f61c3dd90ac8b64203a2df364b,"[""Learner""]",Membership,0578dfa50f3abd056e8830c38cb0ce99,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-31 17:40:39.180000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,c1ca8b84758d7f8d59724eec336bd5be,1.7 Rationales for eLearning,LEARNER_1
