,type,action,event_time,session_id,membership_role,membership_type,event__id,event__type,event__actor_type,event__action,event__object_type,event__object_name,event__object_extensions_asset_type,event__object_extensions_http_method,event__eventTime,event__edApp_type,event__session_type,object_id_type,event__object_id_type,event__attachment_type,object_id,event__object_extensions_asset_name,actor_id
906,NavigationEvent,navigatedto,2033-01-11 18:05:28.529000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,00212a3ae5e9b86426c006f2de74826a,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 18:05:28.529000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_1
907,NavigationEvent,navigatedto,2033-01-11 17:54:57.977000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,d6b6e74014dbfdafed826dd94e81e62d,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 17:54:57.977000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_1
908,NavigationEvent,navigatedto,2033-01-11 17:59:53.118000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,31ff0024771ce2c1c08d4fbe95a51d64,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 17:59:53.118000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_1
909,NavigationEvent,navigatedto,2033-01-11 17:56:55.585000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,b7ebc364e2aa2ad29926df759cc159d2,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 17:56:55.585000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_1
910,NavigationEvent,navigatedto,2033-01-11 17:56:55.633000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,944612c8b8e9ab54bb945bd400dbd22c,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 17:56:55.633000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_1
911,NavigationEvent,navigatedto,2033-01-11 17:13:16.020000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,f65314904bf10af5ef921d24167054de,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 17:13:16.020000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_1
912,NavigationEvent,navigatedto,2033-01-11 17:13:16.031000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,c680a376df0b62a2d967b991793ba653,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 17:13:16.031000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_1
913,NavigationEvent,navigatedto,2033-01-11 17:13:19.520000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,1af55f3d532ed07f26be913b4676d45b,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 17:13:19.520000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_1
914,NavigationEvent,navigatedto,2033-01-11 17:13:19.289000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,510b9e485e62c071f160f7c9022c6f47,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 17:13:19.289000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_1
915,NavigationEvent,navigatedto,2033-01-11 17:56:36.708000+00:00,41adb47bd8106719127ccccead504829,"[""Learner""]",Membership,62c7f819227ba5d5debc6097b4944201,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 17:56:36.708000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_1
916,NavigationEvent,navigatedto,2033-01-11 15:17:07.793000+00:00,7c66665e20976f0141f80899d592acb0,"[""Learner""]",Membership,05ded2f4eddaf9151844c0ee7d77290c,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-11 15:17:07.793000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_1
917,NavigationEvent,navigatedto,2033-01-12 08:57:51.151000+00:00,7c66665e20976f0141f80899d592acb0,"[""Learner""]",Membership,4025a3c79e7c7f7329369a65e48d1df5,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-12 08:57:51.151000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_1
918,NavigationEvent,navigatedto,2033-01-12 08:57:57.758000+00:00,7c66665e20976f0141f80899d592acb0,"[""Learner""]",Membership,afb76e474e08fdf338edcb71327c183b,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-12 08:57:57.758000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_1
2426,NavigationEvent,navigatedto,2033-01-15 22:08:20.063000+00:00,84db2cf7bdbb6d4aeaab96fde16d7230,"[""Learner""]",Membership,e24f85580e6b3b9d1bc90fcb0bba63d2,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-15 22:08:20.063000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_2
2427,NavigationEvent,navigatedto,2033-01-15 22:08:20.122000+00:00,84db2cf7bdbb6d4aeaab96fde16d7230,"[""Learner""]",Membership,d5f3cf9ea990e4f50d53d67eeab83118,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-15 22:08:20.122000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_2
2428,NavigationEvent,navigatedto,2033-01-17 16:07:52.874000+00:00,6b28ec7e560a8ea56cc95a2d2ce21f12,"[""Learner""]",Membership,d30a44573c6c92071dec8dfc1eac9668,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-17 16:07:52.874000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_2
2429,NavigationEvent,navigatedto,2033-01-22 14:48:13.217000+00:00,5684a69fa62e9411a66444bb73c9b205,"[""Learner""]",Membership,bbc8d21a50375d05218a1a40a9ba6837,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-22 14:48:13.217000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_2
2430,NavigationEvent,navigatedto,2033-01-22 15:53:25.617000+00:00,5684a69fa62e9411a66444bb73c9b205,"[""Learner""]",Membership,122005cadd828d05a13b36af4692ec43,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-22 15:53:25.617000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_2
2431,NavigationEvent,navigatedto,2033-01-10 16:21:03.992000+00:00,ef5ccc99d4ea2ed3ae0767e8909f5a3e,"[""Learner""]",Membership,6f6f81fed841e28f6b0069cfb654ae60,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-10 16:21:03.992000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_2
2432,NavigationEvent,navigatedto,2033-01-10 16:21:03.980000+00:00,ef5ccc99d4ea2ed3ae0767e8909f5a3e,"[""Learner""]",Membership,20d5b82b6dd75fa6f33c5491a5566916,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-10 16:21:03.980000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_2
4600,NavigationEvent,navigatedto,2033-02-04 08:25:38.348000+00:00,5303c9b423e89f320f79b2d65e0c89ea,"[""Learner""]",Membership,ab48e98846c208863ef5dd36d136c529,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-02-04 08:25:38.348000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_3
4601,NavigationEvent,navigatedto,2033-01-19 15:39:26.736000+00:00,73eed2e97a1abebdced77f5bf0dcf8aa,"[""Learner""]",Membership,889b80012ee5cccf6e3d7d23586f7bc0,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-19 15:39:26.736000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_3
4602,NavigationEvent,navigatedto,2033-01-18 11:07:25.476000+00:00,3da4c3ac717eb64a2e67cdb29d62e89f,"[""Learner""]",Membership,a2462f440314e916383854ab17b50709,NavigationEvent,Person,NavigatedTo,Page,,wiki_page,GET,2033-01-18 11:07:25.476000+00:00,SoftwareApplication,Session,wikiPage,wikiPage,,a34ef53158a2362f67dd8a57cc70150a,1.6 eLearning and open education,LEARNER_3
